"Credit Serial Numbers","Date Issued (GMT)","Vintage","Vintage Assignment Period Start Date","Vintage Assignment Period End Date","Quantity of Credits","Account Holder","Status Effective (GMT)","Retired on Behalf of","Retirement Reason","Purpose of Retirement","Project ID","Project Name","Project Type","Project Methodology/Protocol","Methodology/Protocol Version","Project Site Location","Project Site State","Project Site Country","ARB Eligible","Ecology Eligible","CORSIA Eligible","Eligible for CORSIA 2021-2023 Compliance Period (Pilot Phase)","Eligible for CORSIA 2024-2026 Compliance Period (First Phase)","CCP Approved","Verified Removal","Sustainable Development Goal(s)","Project Website","Documents",
"ACR-US-272-2015-421-249104 to 252411","4/25/2016 10:21:34 PM","2015","1/1/2014","9/30/2015","3308","Just Energy (U.S.) Corp.","8/9/2023 6:45:34 PM","","On Behalf of Third Party","Retired on behalf of Solairus 2021","ACR272","Bear Creek Watershed Forest Carbon Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.0","10 miles southeast of the city of Astoria","OREGON","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-646-2019-1598-77419 to 77495","7/8/2022 10:27:50 PM","2019","1/2/2019","12/27/2019","77","SouthStar Energy Services LLC","8/9/2023 4:34:35 PM","","Retail Program Requirements","Q2 '23 GLEM Green-E RY 2023","ACR646","A-Gas V5","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 2.0","Wood County, Bowling Green, Ohio","OHIO","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","www.agasamericas.com","View",
"ACR-US-646-2019-1598-72975 to 77418","7/8/2022 10:27:50 PM","2019","1/2/2019","12/27/2019","4444","SouthStar Energy Services LLC","8/9/2023 4:34:12 PM","","Retail Program Requirements","Q2 '23 GL Green-E RY 2023","ACR646","A-Gas V5","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 2.0","Wood County, Bowling Green, Ohio","OHIO","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","www.agasamericas.com","View",
"ACR-US-583-2020-1181-10527 to 10553","12/21/2020 8:51:06 PM","2020","1/1/2020","8/27/2020","27","SouthStar Energy Services LLC","8/9/2023 4:33:49 PM","","Retail Program Requirements","Q2 '23 GLEM Green-E RY 2023","ACR583","A-Gas V2","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 1.1","Wood County, Bowling Green, Ohio","OHIO","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","www.agasamericas.com","View",
"ACR-US-583-2020-1181-8994 to 10526","12/21/2020 8:51:06 PM","2020","1/1/2020","8/27/2020","1533","SouthStar Energy Services LLC","8/9/2023 4:33:07 PM","","Retail Program Requirements","Q2 '23 GL Green-E RY 2023","ACR583","A-Gas V2","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 1.1","Wood County, Bowling Green, Ohio","OHIO","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","www.agasamericas.com","View",
"ACR-US-573-2019-1179-35320 to 35418","12/21/2020 8:50:21 PM","2019","1/1/2019","11/22/2019","99","SouthStar Energy Services LLC","8/9/2023 4:32:41 PM","","Retail Program Requirements","Q2 '23 GL4B Green-E RY 2023","ACR573","A-Gas V1","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 1.1","Wood County, Bowling Green, Ohio","OHIO","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","www.agasamericas.com","View",
"ACR-US-573-2019-1179-29650 to 35319","12/21/2020 8:50:21 PM","2019","1/1/2019","11/22/2019","5670","SouthStar Energy Services LLC","8/9/2023 4:32:15 PM","","Retail Program Requirements","Q2 '23 GL Green-E RY 2023","ACR573","A-Gas V1","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 1.1","Wood County, Bowling Green, Ohio","OHIO","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","www.agasamericas.com","View",
"ACR-US-398-2021-1581-57906 to 57916","6/15/2022 11:29:47 PM","2021","1/1/2021","10/9/2021","11","SouthStar Energy Services LLC","8/9/2023 4:31:12 PM","","Retail Program Requirements","Q2 '23 GLEM Green-E RY 2023","ACR398","Anew - Doe Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Johnson County, Tennessee","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-398-2021-1581-57764 to 57905","6/15/2022 11:29:47 PM","2021","1/1/2021","10/9/2021","142","SouthStar Energy Services LLC","8/9/2023 4:30:43 PM","","Retail Program Requirements","Q2 '23 GL4 Green-E RY 2023","ACR398","Anew - Doe Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Johnson County, Tennessee","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-398-2021-1581-57151 to 57763","6/15/2022 11:29:47 PM","2021","1/1/2021","10/9/2021","613","SouthStar Energy Services LLC","8/9/2023 4:30:22 PM","","Retail Program Requirements","Q2 '23 GL Green-E RY 2023","ACR398","Anew - Doe Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Johnson County, Tennessee","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-398-2019-820-45462 to 45948","4/17/2019 3:10:29 AM","2019","10/10/2017","10/9/2018","487","SouthStar Energy Services LLC","8/9/2023 4:29:44 PM","","Retail Program Requirements","Q2 '23 GL4B Green-E RY 2023","ACR398","Anew - Doe Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.0","Johnson County, Tennessee","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-656-2019-1648-1304415 to 1304888","9/2/2022 1:41:17 PM","2019","1/1/2019","12/31/2019","474","PDI Technologies, Inc.","8/9/2023 4:00:13 PM","","On Behalf of Third Party","GP-026","ACR656","Whirlpool HFO Amana 656","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 3.0","Amana","IOWA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-656-2019-1648-1304410 to 1304414","9/2/2022 1:41:17 PM","2019","1/1/2019","12/31/2019","5","PDI Technologies, Inc.","8/9/2023 3:59:24 PM","","On Behalf of Third Party","GP-014 (LM)","ACR656","Whirlpool HFO Amana 656","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 3.0","Amana","IOWA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-656-2019-1648-1298586 to 1304409","9/2/2022 1:41:17 PM","2019","1/1/2019","12/31/2019","5824","PDI Technologies, Inc.","8/9/2023 3:58:45 PM","","On Behalf of Third Party","GP-007","ACR656","Whirlpool HFO Amana 656","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 3.0","Amana","IOWA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-656-2019-1648-1298086 to 1298585","9/2/2022 1:41:17 PM","2019","1/1/2019","12/31/2019","500","PDI Technologies, Inc.","8/9/2023 3:57:58 PM","","On Behalf of Third Party","GP-030","ACR656","Whirlpool HFO Amana 656","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 3.0","Amana","IOWA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-656-2019-1648-1297886 to 1298085","9/2/2022 1:41:17 PM","2019","1/1/2019","12/31/2019","200","PDI Technologies, Inc.","8/9/2023 3:57:20 PM","","On Behalf of Third Party","GP-029","ACR656","Whirlpool HFO Amana 656","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 3.0","Amana","IOWA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-656-2019-1648-1296886 to 1297885","9/2/2022 1:41:17 PM","2019","1/1/2019","12/31/2019","1000","PDI Technologies, Inc.","8/9/2023 3:56:38 PM","","On Behalf of Third Party","GP-018","ACR656","Whirlpool HFO Amana 656","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 3.0","Amana","IOWA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-656-2019-1648-1296811 to 1296885","9/2/2022 1:41:17 PM","2019","1/1/2019","12/31/2019","75","PDI Technologies, Inc.","8/9/2023 3:55:57 PM","","On Behalf of Third Party","GP-015","ACR656","Whirlpool HFO Amana 656","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 3.0","Amana","IOWA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-656-2019-1648-1295811 to 1296810","9/2/2022 1:41:17 PM","2019","1/1/2019","12/31/2019","1000","PDI Technologies, Inc.","8/9/2023 3:54:16 PM","","On Behalf of Third Party","GP-014","ACR656","Whirlpool HFO Amana 656","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 3.0","Amana","IOWA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-656-2019-1648-1294811 to 1295810","9/2/2022 1:41:17 PM","2019","1/1/2019","12/31/2019","1000","PDI Technologies, Inc.","8/9/2023 3:53:16 PM","","On Behalf of Third Party","GP-013","ACR656","Whirlpool HFO Amana 656","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 3.0","Amana","IOWA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-656-2019-1648-1279962 to 1294810","9/2/2022 1:41:17 PM","2019","1/1/2019","12/31/2019","14849","PDI Technologies, Inc.","8/9/2023 3:49:27 PM","","On Behalf of Third Party","GP-002","ACR656","Whirlpool HFO Amana 656","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 3.0","Amana","IOWA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-622-2020-1544-305952 to 320800","5/27/2022 4:30:40 PM","2020","1/1/2020","12/31/2020","14849","PDI Technologies, Inc.","8/9/2023 3:48:09 PM","","On Behalf of Third Party","GP-002","ACR622","Foam Blowing Agent Project 003F","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 3.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-222-2019-1371-7209 to 9389","10/20/2021 7:12:58 PM","2019","1/1/2019","12/30/2019","2181","North Bridge Partners LLC","8/9/2023 3:27:19 PM","","On Behalf of Third Party","On behalf of Patch's customers and/ or their End Users","ACR222","Prairie Pothole Avoided Conversion of Grasslands and Shrublands","Agricultural Land Management","Avoided Conversion of Grasslands and Shrublands to Crop Production","Version 2.0","Missouri Coteau","NORTH DAKOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;13: Climate Action;15: Life on Land","","View",
"ACR-TH-839-2023-1920-183090 to 183153","5/31/2023 8:20:11 PM","2023","2/7/2023","3/26/2023","64","Tradewater, LLC","8/9/2023 2:03:29 PM","","Environmental Benefit","Climate Heroes - 23.08.09","ACR839","Tradewater - Thailand 2","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","Version 1.0","965 Moo 2 Soi 3B Bangpoo Industrial Estate, Sukhumvit Rd Bangpoo Mai","Samut Prakan","TH","No","No","No","","","Yes","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-TH-839-2023-1920-183068 to 183089","5/31/2023 8:20:11 PM","2023","2/7/2023","3/26/2023","22","Tradewater, LLC","8/8/2023 4:11:33 PM","","Environmental Benefit","Climate Heroes - 23.08.08","ACR839","Tradewater - Thailand 2","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","Version 1.0","965 Moo 2 Soi 3B Bangpoo Industrial Estate, Sukhumvit Rd Bangpoo Mai","Samut Prakan","TH","No","No","No","","","Yes","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-US-634-2019-1554-12266 to 14265","6/10/2022 11:15:52 PM","2019","1/9/2019","12/31/2019","2000","ACT Commodities Inc.","8/8/2023 3:47:13 PM","","Environmental Benefit","Retired on behalf of Green Places","ACR634","ILTF/NICC & SIG Fond Du Lac Band Forest Carbon Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Cloquet","MINNESOTA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-634-2019-1554-6651 to 12265","6/10/2022 11:15:52 PM","2019","1/9/2019","12/31/2019","5615","ACT Commodities Inc.","8/8/2023 3:46:16 PM","","Environmental Benefit","Retired on behalf of Route for its Carbon Neutral Shipping Program","ACR634","ILTF/NICC & SIG Fond Du Lac Band Forest Carbon Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Cloquet","MINNESOTA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
